ID_Pelanggan,Tahun,Umur,Pekerjaan,Jumlah_Chat,Frekuensi_Konsultasi,Kunjungan_Website,Nilai_Transaksi,Frekuensi_Pembelian,Produk_Diminati,Status_Pembayaran,Lead_Scoring
1,2023,32,Teknisi,22,2,2,4336714,8,Paket CCTV,Belum,Warm
2,2023,39,Wirausaha,27,2,5,2724460,3,Kamera CCTV,Belum,Warm
3,2023,26,Teknisi,3,2,20,11318635,4,Kamera CCTV,Belum,Warm
4,2023,26,Teknisi,22,1,13,8034721,6,Kamera CCTV,Lunas,Hot
5,2023,39,Pegawai Swasta,19,3,17,5518326,6,CCTV Outdoor,Belum,Warm
6,2023,33,Mahasiswa,3,4,18,2578560,6,Kamera CCTV,Belum,Warm
7,2023,36,Teknisi,29,2,20,14363329,8,CCTV Outdoor,Lunas,Hot
8,2023,38,Karyawan,9,2,4,1693991,4,Kamera CCTV,Belum,Cold
9,2023,49,Pegawai Swasta,4,3,10,10193520,1,DVR,Lunas,Cold
10,2023,37,Mahasiswa,26,2,15,796203,5,CCTV Outdoor,Belum,Cold
11,2023,49,Teknisi,29,2,12,2779303,1,Kamera CCTV,Belum,Warm
12,2023,39,Karyawan,18,8,6,4425270,8,Kamera CCTV,Lunas,Warm
13,2023,30,Freelancer,6,7,20,12694983,7,Paket CCTV,Lunas,Hot
14,2023,43,Freelancer,14,7,18,4818896,2,Kamera CCTV,Belum,Warm
15,2023,25,Karyawan,29,4,9,2378722,2,CCTV Outdoor,Belum,Cold
16,2023,37,Freelancer,18,2,7,3442364,6,CCTV Outdoor,Belum,Warm
17,2023,41,Freelancer,25,8,13,14103883,1,DVR,Belum,Hot
18,2023,30,Pegawai,6,2,7,3357792,7,CCTV Outdoor,Belum,Warm
19,2023,25,Pegawai Swasta,3,1,14,11442999,6,Paket CCTV,Lunas,Warm
20,2023,48,Kontraktor,15,6,13,11019784,8,CCTV Outdoor,Belum,Hot
21,2023,22,Mahasiswa,14,8,17,8028949,3,DVR,Belum,Hot
22,2023,41,Pegawai Swasta,12,7,9,2872024,4,Kamera CCTV,Belum,Warm
23,2023,40,Kontraktor,15,6,7,7457344,8,CCTV Outdoor,Lunas,Hot
24,2023,40,Freelancer,21,5,14,5474487,8,Paket CCTV,Lunas,Warm
25,2023,43,Pegawai,19,5,4,1757496,3,Kamera CCTV,Belum,Cold
26,2023,47,Freelancer,28,4,1,10926415,4,DVR,Belum,Hot
27,2023,24,Pegawai Swasta,1,2,18,9234478,7,DVR,Lunas,Warm
28,2023,39,Pegawai,4,2,12,9580037,6,CCTV Outdoor,Lunas,Warm
29,2023,24,Mahasiswa,16,3,2,8622509,5,CCTV Indoor,Lunas,Warm
30,2023,50,Pegawai Swasta,11,2,11,5858797,4,CCTV Outdoor,Belum,Warm
31,2023,35,Pegawai Swasta,28,5,14,10384002,2,CCTV Outdoor,Lunas,Hot
32,2023,48,Karyawan,29,6,16,14838535,6,CCTV Outdoor,Lunas,Hot
33,2023,37,Pegawai,16,5,7,1282861,6,Kamera CCTV,Belum,Cold
34,2023,43,Wirausaha,13,2,14,3244482,3,DVR,Lunas,Warm
35,2023,47,Freelancer,2,8,19,8068307,8,CCTV Outdoor,Lunas,Hot
36,2023,31,Teknisi,13,3,17,13308647,7,Paket CCTV,Lunas,Hot
37,2023,27,Freelancer,9,4,2,3572749,6,CCTV Outdoor,Lunas,Warm
38,2023,47,Teknisi,6,3,3,8498474,7,Paket CCTV,Belum,Warm
39,2023,39,Karyawan,30,8,2,2237275,5,DVR,Lunas,Cold
40,2023,28,Mahasiswa,25,8,5,14866691,2,Kamera CCTV,Belum,Hot
